Leasing,Spalanie W Cyklu Mieszanym,Generacja,Skrzynia biegów,Rok produkcji,Kierownica po prawej (Anglik),Pojemność skokowa,Pojemność baterii,Liczba pozostałych rat,Kraj pochodzenia,Opłata początkowa,Oferta od,Rodzaj paliwa,Wartość wykupu,Zarejestrowany jako zabytek,Rodzaj koloru,Moc,Rodzaj własności baterii,Gwarancja dealerska (w cenie),Napęd,Tuning,Kolor,Bezwypadkowy,Przebieg,Możliwość finansowania,Ma numer rejestracyjny,Data pierwszej rejestracji w historii pojazdu,Homologacja ciężarowa,Spalanie Poza Miastem,Model pojazdu,Liczba drzwi,VAT marża,Faktura VAT,Numer rejestracyjny pojazdu,Emisja CO2,Autonomia,Stan,Cena,lub do (przebieg km),Wersja,Miesięczna rata,Zarejestrowany w Polsce,Okres gwarancji producenta,Pokaż oferty z numerem VIN,Pierwszy właściciel (od nowości),Serwisowany w ASO,Liczba miejsc,Marka pojazdu,Spalanie W Mieście,Uszkodzony,Średnie zużycie,Typ nadwozia
Tak,,III (2015-2023),Automatyczna,2024,,1 984 cm3,,,Polska,,Firma,Benzyna,,,Metalik,190 KM,,,Na przednie koła,,Czarny,Tak,5 km,Tak,,,,,Superb,5,,Tak,,,,Nowe,215 500,,,,,,,,,5,Skoda,,,,Kombi
,,,Automatyczna,2023,,1 987 cm3,,,Polska,,Firma,Hybryda,,,Metalik,197 KM,,36 miesięcy,Na przednie koła,,Żółty,Tak,1 km,Tak,,,,,C-HR,5,,Tak,,,,Nowe,178 500,,,,,,,,,5,Toyota,,,,SUV
Tak,,,Automatyczna,2023,,,,,Polska,,Firma,Elektryczny,,,,,,,4x4 (stały),,Niebieski,Tak,,Tak,,,,,e-tron,,,Tak,,,,Nowe,355 644,,,,,,Tak,,,,Audi,,,,SUV
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,II (1997-2006),Manualna,2004,,3 964 cm3,,,Stany Zjednoczone,,Prywatne,Benzyna,,,Metalik,176 KM,,,4x4 (dołączany ręcznie),Tak,Szary,Tak,65 700 km,,Tak,styczeń 2004,,,Wrangler,2,,,W6Y4,,,Używane,92 000,,,,Tak,,Tak,,,4,Jeep,,,,SUV
,,,Automatyczna,2020,,1 998 cm3,,,,,Prywatne,Benzyna,,,,149 KM,,,,,Czarny,,50 969 km,,,,,,ASX,5,,,,,,Używane,79 500,,,,,,Tak,,,5,Mitsubishi,,,,SUV
,,Mk1 (1998-2004),Manualna,2004,,1 596 cm3,,,,,Prywatne,Benzyna,,,Metalik,100 KM,,,Na przednie koła,,Czarny,,179 000 km,,Tak,24 listopad 2004,,5.5 l/100km,Focus,5,,,L UN8392,159 g/km,,Używane,8 900,,1.6 16V Ghia,,,,Tak,,,5,Ford,"8,70 l/100km",,,Kompakt
,,,Automatyczna,2023,,1 798 cm3,,,Polska,,Firma,Hybryda,,,Metalik,140 KM,,36 miesięcy,Na przednie koła,,Szary,Tak,1 km,Tak,,,,,C-HR,5,,Tak,,,,Nowe,152 000,,,,,,,,,5,Toyota,,,,SUV
,,II (2015-),Automatyczna,2016,,1 997 cm3,,,Polska,,Firma,Diesel,,,Metalik,210 KM,,,Na przednie koła,,Brązowy,Tak,137 397 km,Tak,,,,,S-Max,5,,Tak,,,,Używane,99 900,,2.0 TDCi Bi-Turbo Vignale PowerShift,,,,Tak,,,5,Ford,6 l/100km,,,Minivan
Tak,,,Automatyczna,2024,,1 984 cm3,,,Polska,,Firma,Benzyna,,,Metalik,190 KM,,,4x4 (dołączany automatycznie),,Szary,Tak,4 km,Tak,,,,,Kodiaq,5,,Tak,,,,Nowe,203 440,,2.0 TSI 4x4 Style DSG,,,,Tak,,,5,Skoda,,,,SUV
,,III (2019 - ),Automatyczna,2023,,2 483 cm3,,,Polska,,Firma,Benzyna,,,Metalik,190 KM,,,Na przednie koła,,Czarny,Tak,1 km,Tak,,,,,Kuga,5,,Tak,,,,Nowe,174 900,,Vignale 2.5 FHEV FWD,,,,Tak,,,5,Ford,,,,SUV
,,W211 (2002-2009),Automatyczna,2006,,2 148 cm3,,,,,Prywatne,Diesel,,,,150 KM,,,,,Czarny,,328 000 km,,,,,,Klasa E,4,,,,,,Używane,13 999,,,,,,Tak,,,,Mercedes-Benz,,,,Kombi
,,I (2007-2012),Manualna,2009,,1 582 cm3,,,Polska,,Prywatne,Diesel,,,,116 KM,,,,,Inny kolor,,218 480 km,,Tak,,,,I30,5,,,NOL69300,,,Używane,15 200,,1.6 CRDI Classic,,Tak,,Tak,,,5,Hyundai,"5,30 l/100km",,,Kompakt
,,K (2015-2021),Manualna,2016,,1 399 cm3,,,Polska,,Prywatne,Benzyna,,,Perłowy,125 KM,,,Na przednie koła,,Srebrny,Tak,167 000 km,,Tak,,,4.0 l/100km,Astra,5,,,,130 g/km,,Używane,47 800,,V 1.4 T Dynamic,,Tak,,Tak,,Tak,5,Opel,7 l/100km,,,Kombi
,,,Manualna,2008,,796 cm3,,,,,Prywatne,Benzyna,,,Metalik,52 KM,,,Na przednie koła,,Niebieski,,109 700 km,,Tak,,,4.2 l/100km,Matiz,5,,,,119 g/km,,Używane,7 800,,0.8 S,,Tak,,Tak,,Tak,5,Chevrolet,"6,90 l/100km",,,Kompakt
,,C7 (2011-2018),Automatyczna,2012,,2 995 cm3,,,,,Firma,Benzyna,,,Metalik,310 KM,,,4x4 (stały),,Błękitny,,213 000 km,,,,,6.0 l/100km,A6,4,,,,190 g/km,,Używane,45 000,,3.0 TFSI Quattro S tronic,,,,Tak,,,5,Audi,10 l/100km,Tak,,Sedan
,,,Automatyczna,2018,,1 598 cm3,,,Francja,,Firma,Diesel,,,Metalik,115 KM,,,Na przednie koła,,Szary,,110 000 km,Tak,Tak,28 wrzesień 2018,,4.4 l/100km,Karoq,5,Tak,,PRA07507,122 g/km,,Używane,77 500,,1.6 TDI SCR DSG Ambition,,Tak,,Tak,,Tak,5,Skoda,5 l/100km,,,SUV
Tak,,,Automatyczna,2023,,,,,Polska,,Firma,Elektryczny,,,,408 KM,,,4x4 (dołączany automatycznie),,Biały,Tak,,Tak,,,,,e-tron,4,,Tak,,,,Nowe,367 278,,,,,,Tak,,,5,Audi,,,,SUV
Tak,,,Automatyczna,2023,,2 487 cm3,,,Polska,,Firma,Benzyna,,,Metalik,190 KM,,,4x4 (dołączany automatycznie),,Zielony,Tak,1 km,Tak,,,,,Highlander,5,,Tak,,,,Nowe,290 190,,2.5 Hybrid Executive,,Tak,,,Tak,Tak,7,Toyota,,,,SUV
,,,Automatyczna,2023,,1 995 cm3,,,,,Firma,Diesel,,,,150 KM,,,Na przednie koła,,Szary,Tak,1 km,,,,,,Seria 2,4,,,,,,Nowe,183 540,,218d M Sport sport,,,,,,,5,BMW,,,,Sedan
,,III (2008-2016),Manualna,2012,,1 598 cm3,,,,,Prywatne,Benzyna,,,Metalik,110 KM,,,Na przednie koła,,Czarny,Tak,176 000 km,,Tak,,,,Megane,5,,,,,,Używane,24 800,,,,Tak,,Tak,Tak,Tak,5,Renault,,,,Kombi
,,,Automatyczna,2019,,1 984 cm3,,,Kanada,,Prywatne,Benzyna,,,,252 KM,,,4x4 (stały),,Srebrny,,40 000 km,,Tak,,,7.3 l/100km,Macan,5,,,,185 g/km,,Używane,183 900,,PDK,,Tak,,Tak,,,5,Porsche,"9,50 l/100km",,,SUV
,,,Manualna,2006,,1 749 cm3,,,,,Prywatne,Benzyna,,,,125 KM,,,Na przednie koła,,Bordowy,,187 000 km,,Tak,,,6.0 l/100km,407,4,,,,183 g/km,,Używane,6 800,,1.8 Premium,,,,Tak,,,,Peugeot,10 l/100km,,,Sedan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tak,,,Automatyczna,2023,,,,,Polska,,Firma,Elektryczny,,,,408 KM,,,4x4 (dołączany automatycznie),,Biały,Tak,,Tak,,,,,e-tron,4,,Tak,,,,Nowe,367 278,,,,,,Tak,,,5,Audi,,,,SUV
Tak,,,Automatyczna,2023,,2 487 cm3,,,Polska,,Firma,Benzyna,,,Metalik,190 KM,,,4x4 (dołączany automatycznie),,Zielony,Tak,1 km,Tak,,,,,Highlander,5,,Tak,,,,Nowe,290 190,,2.5 Hybrid Executive,,Tak,,,Tak,Tak,7,Toyota,,,,SUV
,,,Automatyczna,2023,,1 995 cm3,,,,,Firma,Diesel,,,,150 KM,,,Na przednie koła,,Szary,Tak,1 km,,,,,,Seria 2,4,,,,,,Nowe,183 540,,218d M Sport sport,,,,,,,5,BMW,,,,Sedan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,III (2008-2016),Manualna,2012,,1 598 cm3,,,,,Prywatne,Benzyna,,,Metalik,110 KM,,,Na przednie koła,,Czarny,Tak,176 000 km,,Tak,,,,Megane,5,,,,,,Używane,24 800,,,,Tak,,Tak,Tak,Tak,5,Renault,,,,Kombi
,,,Automatyczna,2019,,1 984 cm3,,,Kanada,,Prywatne,Benzyna,,,,252 KM,,,4x4 (stały),,Srebrny,,40 000 km,,Tak,,,7.3 l/100km,Macan,5,,,,185 g/km,,Używane,183 900,,PDK,,Tak,,Tak,,,5,Porsche,"9,50 l/100km",,,SUV
,,,Manualna,2006,,1 749 cm3,,,,,Prywatne,Benzyna,,,,125 KM,,,Na przednie koła,,Bordowy,,187 000 km,,Tak,,,6.0 l/100km,407,4,,,,183 g/km,,Używane,6 800,,1.8 Premium,,,,Tak,,,,Peugeot,10 l/100km,,,Sedan
,,,Automatyczna,2010,,2 993 cm3,,,Polska,,Prywatne,Diesel,,,,245 KM,,,4x4 (dołączany automatycznie),,Czarny,Tak,289 000 km,,Tak,,,6.0 l/100km,5GT,5,,,,183 g/km,,Używane,54 000,,,,Tak,,Tak,Tak,,5,BMW,8 l/100km,,,Sedan
,,B (2005-2014),Automatyczna,2006,,1 796 cm3,,,Niemcy,,Prywatne,Benzyna,,,,140 KM,,,,,Złoty,Tak,174 000 km,,Tak,,,,Zafira,5,,,,,,Używane,16 900,,,,,,Tak,,Tak,7,Opel,,,,Minivan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manualna,2014,,1 197 cm3,,,Niemcy,,Prywatne,Benzyna,,,Metalik,110 KM,,,Na przednie koła,,Beżowy,Tak,120 000 km,,Tak,,,4.0 l/100km,Golf Sportsvan,5,,,,122 g/km,,Używane,41 000,,VII SV 1.2 TSI BMT Trendline,,,,Tak,,Tak,5,Volkswagen,6 l/100km,,,Minivan
,,,Automatyczna,2018,,1 997 cm3,,,Polska,,Prywatne,Diesel,,,,177 KM,,,,,Srebrny,Tak,137 648 km,,Tak,04 styczeń 2019,,,Traveller,4,,,ZKO6CC8,,,Używane,121 770,,,,Tak,,Tak,Tak,Tak,7,Peugeot,,,,Minivan
,,W222 (2013-2020),Automatyczna,2016,,2 987 cm3,,,,,Prywatne,Diesel,,,,258 KM,,,,,Biały,,209 000 km,,,,,,Klasa S,4,,,,,,Używane,242 500,,350 d 4-Matic L 9G-TRONIC,,,,Tak,,,5,Mercedes-Benz,"6,80 l/100km",,,Sedan
,,L (2021-),Automatyczna,2023,,1 498 cm3,,,,,Firma,Diesel,,,,130 KM,,,Na przednie koła,,Niebieski,Tak,3 km,,,,,,Astra,5,,,,,,Nowe,147 890,,VI 1.5 CDTI GS S&S,,,,,,,,Opel,,,,Kombi
,,F10/F11 (2009-2017),Automatyczna,2014,,1 997 cm3,,,Stany Zjednoczone,,Prywatne,Benzyna,,,Metalik,245 KM,,,Na tylne koła,,Granatowy,,222 151 km,,Tak,19 kwiecień 2019,,5.0 l/100km,Seria 5,4,,,WF9991S,142 g/km,,Używane,60 500,,528i,,Tak,,Tak,,,5,BMW,8 l/100km,,,Sedan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B9 (2015-),Automatyczna,2016,,1 984 cm3,,,,,Prywatne,Benzyna,,,Metalik,190 KM,,,,,Szary,,145 000 km,,,,,,A4,5,,,,,,Używane,86 000,,Avant 2.0 TFSI ultra S tronic,,,,Tak,,,5,Audi,"7,60 l/100km",,,Kombi
,,III (2009-2015),Automatyczna,2012,,1 798 cm3,,,,,Prywatne,Hybryda,,,,99 KM,,,Na przednie koła,,Srebrny,,230 000 km,,Tak,styczeń 2012,,3.8 l/100km,Prius,5,,,WY225XJ,92 g/km,,Używane,42 000,,(Hybrid) Comfort,,,,Tak,,,5,Toyota,4 l/100km,,,Sedan
,,II (2015-),Automatyczna,2015,,2 967 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,272 KM,,,4x4 (stały),,Szary,Tak,167 000 km,,Tak,,,5.0 l/100km,Q7,5,,,WE200VT,149 g/km,,Używane,187 000,,3.0 TDI Quattro Tiptronic,,,,Tak,Tak,Tak,5,Audi,6 l/100km,,,SUV
,,IV (2013-),Automatyczna,2018,,1 995 cm3,,,Polska,,Prywatne,Benzyna,,,Metalik,241 KM,,,4x4 (dołączany automatycznie),,Inny kolor,Tak,66 000 km,,Tak,28 czerwiec 2018,,7.0 l/100km,Forester,5,,,PCHFF67,197 g/km,,Używane,127 000,,2.0 XT Platinum Lineartronic,,Tak,,Tak,Tak,Tak,5,Subaru,11 l/100km,,,SUV
Tak,,,Automatyczna,2024,,1 984 cm3,,,,,Firma,Benzyna,,,Metalik,190 KM,,,4x4 (stały),,Biały,Tak,5 km,Tak,,,,,Formentor,5,,,,,,Nowe,191 700,,2.0 TSI 4Drive DSG,,,,,,,5,Cupra,,,,SUV
,,III (2009-2015),Automatyczna,2012,,1 798 cm3,,,,,Prywatne,Hybryda,,,,99 KM,,,Na przednie koła,,Srebrny,,230 000 km,,Tak,styczeń 2012,,3.8 l/100km,Prius,5,,,WY852XH,92 g/km,,Używane,36 000,,(Hybrid) Comfort,,,,Tak,,,5,Toyota,4 l/100km,,,Kompakt
,,B7 (2004-2007),Automatyczna,2005,,1 968 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,140 KM,,,Na przednie koła,,Czarny,Tak,298 000 km,,Tak,23 maj 2005,,5.0 l/100km,A4,5,,,PCHNN01,167 g/km,,Używane,17 700,,Avant 2.0 TDI Multitronic,,Tak,,Tak,,Tak,5,Audi,8 l/100km,,,Kombi
Tak,,,Automatyczna,2024,,1 984 cm3,,,,,Firma,Benzyna,,,Metalik,190 KM,,,4x4 (stały),,Szary,Tak,5 km,Tak,,,,,Formentor,5,,,,,,Nowe,206 200,,2.0 TSI 4Drive DSG,,,,,,,5,Cupra,,,,SUV
Tak,,,Automatyczna,2024,,1 984 cm3,,,,,Firma,Benzyna,,,Metalik,190 KM,,,4x4 (stały),,Czarny,Tak,5 km,Tak,,,,,Formentor,5,,,,,,Nowe,187 200,,2.0 TSI 4Drive DSG,,,,,,,5,Cupra,,,,SUV
,,B8 (2014-2023),Automatyczna,2018,,1 984 cm3,,,Polska,,Prywatne,Benzyna,,,Metalik,220 KM,,,Na przednie koła,,Czarny,Tak,132 000 km,,Tak,07 luty 2018,,5.0 l/100km,Passat,4,,,KR1YR84,145 g/km,,Używane,83 000,,2.0 TSI BMT Highline DSG,,Tak,,Tak,,Tak,5,Volkswagen,7 l/100km,,,Sedan
,,VIII (2006-2011),Manualna,2009,,1 798 cm3,,,Niemcy,,Prywatne,Benzyna,,,Metalik,142 KM,,,Na przednie koła,,Czarny,Tak,143 000 km,,Tak,,,5.2 l/100km,Civic,5,,,,145 g/km,,Używane,28 999,,1.8 i-VTEC Sport,,,,Tak,Tak,Tak,5,Honda,"7,60 l/100km",,,Kompakt
,,Mk5 (2014-),Manualna,2017,,1 997 cm3,,,,,Firma,Diesel,,,,150 KM,,,Na przednie koła,,Biały,Tak,103 398 km,Tak,Tak,18 październik 2017,,,Mondeo,5,Tak,,FNW44771,,,Używane,72 900,,2.0 TDCi Titanium,,Tak,,Tak,Tak,Tak,5,Ford,5 l/100km,,,Kombi
,,,Automatyczna,2018,,1 991 cm3,,,Polska,,Prywatne,Benzyna,,,Metalik,211 KM,,,4x4 (stały),,Niebieski,Tak,88 400 km,,Tak,,,5.0 l/100km,GLC,5,,,,152 g/km,,Używane,199 000,,250 4-Matic,,Tak,,Tak,Tak,Tak,5,Mercedes-Benz,8 l/100km,,,SUV
,,II (2012-),Automatyczna,2019,,1 499 cm3,,,Stany Zjednoczone,,Prywatne,Benzyna,,,,182 KM,,,Na przednie koła,,Biały,,22 903 km,,Tak,03 czerwiec 2019,,,Kuga,5,,,WK87714,,,Używane,74 000,,,,Tak,,Tak,,,5,Ford,,,,SUV
,,,Manualna,1997,,1 796 cm3,,,Niemcy,,Prywatne,Benzyna,,,Metalik,115 KM,,,Na tylne koła,,Czarny,Tak,267 000 km,,Tak,22 styczeń 1997,,5.0 l/100km,Z3,2,,,GD526CA,,,Używane,21 999,,1.8,,Tak,,Tak,,,2,BMW,,,,Kabriolet
,,I (2013-2019),Automatyczna,2018,,1 332 cm3,,,Niemcy,,Prywatne,Benzyna,,,,150 KM,,,Na przednie koła,,Niebieski,,118 500 km,,Tak,,,4.0 l/100km,Captur,5,,,,118 g/km,,Używane,68 900,,1.3 Energy TCe S-Edition EDC,,,,Tak,,,,Renault,6 l/100km,,,Kompakt
Tak,,,Automatyczna,2024,,1 984 cm3,,,,,Firma,Benzyna,,,Metalik,190 KM,,,4x4 (stały),,Biały,Tak,5 km,Tak,,,,,Formentor,5,,,,,,Nowe,187 400,,2.0 TSI 4Drive DSG,,,,,,,5,Cupra,,,,SUV
Tak,,,Automatyczna,2024,,1 984 cm3,,,,,Firma,Benzyna,,,Metalik,190 KM,,,4x4 (stały),,Szary,Tak,5 km,Tak,,,,,Formentor,5,,,,,,Nowe,192 000,,2.0 TSI 4Drive DSG,,,,,,,5,Cupra,,,,SUV
,,II (2006-),Manualna,2011,,2 198 cm3,,,Polska,,Prywatne,Diesel,,,,110 KM,,,Na przednie koła,Tak,Czerwony,Tak,301 000 km,,Tak,,,,Jumper,4,,,,,,Używane,36 000,,,,Tak,,Tak,,,9,Citroën,,,,Minivan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C6 (2004-2011),Manualna,2007,,1 968 cm3,,,,,Prywatne,Diesel,,,,140 KM,,,Na przednie koła,,Czarny,,341 650 km,,Tak,,,4.0 l/100km,A6,5,,,,164 g/km,,Używane,23 900,,2.0 TDI,,,,Tak,,,5,Audi,8 l/100km,,,Sedan
,,8R (2008-2016),Automatyczna,2016,,1 984 cm3,,,Kanada,,Prywatne,Benzyna,,,,224 KM,,,4x4 (stały),,Srebrny,Tak,220 645 km,,Tak,,,6.0 l/100km,Q5,5,,,,168 g/km,,Używane,66 000,,2.0 TFSI Quattro Tiptronic,,,,Tak,,,5,Audi,8 l/100km,,,SUV
,,I (2007-2016),Manualna,2012,,1 968 cm3,,,Niemcy,,Prywatne,Diesel,,,Perłowy,140 KM,,,Na przednie koła,,Brązowy,Tak,201 000 km,,Tak,,,5.0 l/100km,Tiguan,5,,,,157 g/km,,Używane,49 900,,2.0 TDI 4Mot Trend&Fun,,Tak,,Tak,,Tak,5,Volkswagen,7 l/100km,Tak,,SUV
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tak,,,Automatyczna,2024,,1 984 cm3,,,,,Firma,Benzyna,,,Metalik,190 KM,,,4x4 (stały),,Czarny,Tak,5 km,Tak,,,,,Formentor,5,,,,,,Nowe,202 400,,2.0 TSI 4Drive DSG,,,,,,,5,Cupra,,,,SUV
Tak,,,Automatyczna,2024,,1 984 cm3,,,,,Firma,Benzyna,,,Metalik,190 KM,,,4x4 (stały),,Szary,Tak,5 km,Tak,,,,,Formentor,5,,,,,,Nowe,185 800,,2.0 TSI 4Drive DSG,,,,,,,5,Cupra,,,,SUV
,,,Automatyczna,2019,,1 498 cm3,,,Polska,,Prywatne,Benzyna,,,,150 KM,,,Na przednie koła,,Czarny,Tak,45 000 km,,Tak,22 październik 2019,,4.0 l/100km,Karoq,5,,,KR7JX01,123 g/km,,Używane,98 000,,1.5 TSI ACT 4x2 Style DSG,,Tak,,Tak,Tak,Tak,5,Skoda,6 l/100km,,,SUV
,,,Automatyczna,2020,,1 984 cm3,,,Polska,,Prywatne,Benzyna,,,Metalik,190 KM,,,Na przednie koła,,Czarny,Tak,37 054 km,,Tak,12 luty 2021,,,Arteon,5,,,SMI20365,,,Używane,164 900,,2.0 TSI R-Line DSG,,Tak,,Tak,Tak,Tak,5,Volkswagen,,,,Coupe
,,IV (2012-2018),Manualna,2019,,1 461 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,90 KM,,,Na przednie koła,,Biały,,76 000 km,,Tak,19 luty 2019,,3.0 l/100km,Clio,5,,,PCHNR91,85 g/km,,Używane,38 000,,1.5 dCi Energy Limited Plus,,Tak,,Tak,,Tak,5,Renault,3 l/100km,,,Auta miejskie
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tak,,II (2017-),Automatyczna,2020,,1 969 cm3,,,Belgia,,Firma,Diesel,,,Metalik,197 KM,,,4x4 (dołączany automatycznie),,Szary,Tak,179 000 km,Tak,Tak,05 czerwiec 2020,,,XC 60,5,,Tak,POZDRAWIAMY,149 g/km,,Używane,119 900,,B4 D AWD Inscription,,Tak,,Tak,Tak,Tak,5,Volvo,6 l/100km,,,SUV
Tak,,Seria E21 (2019-),Automatyczna,2023,,1 798 cm3,,,Polska,,Firma,Hybryda,,,,98 KM,,,Na przednie koła,,Biały,Tak,1 km,Tak,,,,,Corolla,5,,Tak,,,,Nowe,119 900,,,,Tak,,,Tak,Tak,5,Toyota,,,,Sedan
,,II (2012-2020),Automatyczna,2016,,898 cm3,,,,,Prywatne,Benzyna,,,Metalik,90 KM,,,Na przednie koła,,Szary,Tak,170 457 km,,Tak,,,,Sandero Stepway,5,,,,241 g/km,,Używane,23 900,,TCe 90 Easy-R S&S Prestige,,,,Tak,,Tak,5,Dacia,8 l/100km,,,Auta małe
,,,Automatyczna,2006,,2 987 cm3,,,,,Prywatne,Diesel,,,Metalik,218 KM,,,,,Czarny,,281 000 km,,,,,,Commander,5,,,,,,Używane,28 500,,3.0 CRD Limited,,Tak,,Tak,,,7,Jeep,13 l/100km,Tak,,SUV
,,F10/F11 (2009-2017),Automatyczna,2012,,2 993 cm3,,,Niemcy,,Prywatne,Diesel,,,,245 KM,,,Na tylne koła,,Czarny,Tak,268 321 km,,,,,,Seria 5,5,,,,,,Używane,69 000,,,,Tak,,Tak,,Tak,,BMW,,,,Sedan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manualna,2015,,1 590 cm3,,,Szwajcaria,,Prywatne,Benzyna,,,Metalik,117 KM,,,Na przednie koła,,Inny kolor,Tak,109 036 km,,Tak,24 marzec 2016,,4.9 l/100km,ASX,5,,,WWL6350V,133 g/km,,Używane,48 900,,1.6 2WD Invite,,Tak,,Tak,,Tak,5,Mitsubishi,"7,40 l/100km",,,SUV
,,,Automatyczna,2022,,1 997 cm3,,,,,Prywatne,Benzyna,,,Metalik,250 KM,,,4x4 (dołączany automatycznie),,Srebrny,,33 000 km,,Tak,12 październik 2022,,,EDGE,5,,,Bi207hs,,,Używane,142 000,,,,,,Tak,,,5,Ford,,,,SUV
